compresion,codificacion,guardado,total,espacio utilizado
4.379399061203003,3.3687639236450195,0.07206034660339355,7.820224761962891,28.86 MB
3.913550615310669,3.3593156337738037,0.08109760284423828,7.353965520858765,28.86 MB
3.796875238418579,3.370938539505005,0.07074975967407227,7.238565444946289,28.86 MB
3.946014404296875,3.3405120372772217,0.07631397247314453,7.362842082977295,28.86 MB
4.086494207382202,3.4466397762298584,0.07788634300231934,7.611022233963013,28.86 MB
4.014364004135132,3.458174705505371,0.07683348655700684,7.549373626708984,28.86 MB
4.005787134170532,3.3370981216430664,0.07137298583984375,7.414259910583496,28.86 MB
4.096878528594971,3.4442076683044434,0.07362580299377441,7.614713430404663,28.86 MB
4.202389240264893,3.462841749191284,0.07158994674682617,7.736822605133057,28.86 MB
3.9854612350463867,3.3986525535583496,0.08158493041992188,7.465700387954712,28.86 MB
