compresion,codificacion,guardado,total,espacio utilizado
3.4196557998657227,4.43034291267395,0.15945196151733398,8.009452104568481,59.82 MB
3.913587808609009,4.294470310211182,0.16397762298583984,8.372037649154663,59.82 MB
4.255875825881958,4.232109785079956,0.16374993324279785,8.651737689971924,59.82 MB
3.7008056640625,4.223236322402954,0.15199542045593262,8.076038837432861,59.82 MB
4.24916934967041,4.410443305969238,0.15935492515563965,8.8189697265625,59.82 MB
3.6340439319610596,4.300262689590454,0.1705942153930664,8.10490345954895,59.82 MB
4.3209145069122314,4.327003479003906,0.16487789154052734,8.812797546386719,59.82 MB
3.889176845550537,4.407338857650757,0.16391491889953613,8.460432291030884,59.82 MB
4.3393354415893555,4.3973448276519775,0.1796252727508545,8.91630744934082,59.82 MB
4.073193788528442,4.653933048248291,0.15556669235229492,8.882695198059082,59.82 MB
