compresion,codificacion,guardado,total,espacio utilizado
4.411337852478027,3.148432493209839,0.07495927810668945,7.6347315311431885,28.86 MB
4.326445579528809,2.98892879486084,0.07229375839233398,7.387670278549194,28.86 MB
4.280338287353516,3.0710206031799316,0.09083747863769531,7.442198276519775,28.86 MB
4.180368900299072,3.123375177383423,0.07397937774658203,7.377725601196289,28.86 MB
4.127734184265137,3.0758650302886963,0.0716240406036377,7.275225877761841,28.86 MB
4.10913348197937,3.0263679027557373,0.07089805603027344,7.206401348114014,28.86 MB
4.023165702819824,3.0304253101348877,0.07781600952148438,7.131409168243408,28.86 MB
4.3404786586761475,3.1782760620117188,0.07247591018676758,7.591232538223267,28.86 MB
4.614889144897461,3.1329596042633057,0.08879923820495605,7.836649656295776,28.86 MB
4.064435005187988,3.031330108642578,0.07580137252807617,7.171567678451538,28.86 MB
